City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
punta arenas,CL,-53.150002,-70.91667199999998,1569207600,90,84,43.97,11.34
chokurdakh,RU,70.63333100000001,147.916672,1569207600,0,61,36.52,9.82
marienburg,SR,5.84691,-55.021591,1569207600,58,82,82.31,19.17
bernardino de campos,BR,-23.01306,-49.47417100000001,1569207600,60,70,59.09,19.77
yantal,RU,56.847099,105.254204,1569207600,87,62,62.47,4.68
cidreira,BR,-30.18111,-50.205559,1569207600,0,62,51.17,4.43
ahipara,NZ,-35.166672,173.166672,1569207600,98,77,66.33,17.47
hermanus,ZA,-34.418701,19.234461,1569207600,33,66,55.67,8.43
hithadhoo,MV,-0.6,73.08332800000002,1569207600,95,74,81.95,14.97
vaini,TO,-21.200001,-175.199997,1569207600,0,65,67.51,17.74
torbay,CA,47.666592,-52.73135,1569207600,93,69,51.89,26.89
khon buri,TH,14.52541,102.245911,1569207600,100,97,76.19,4.09
upernavik,GL,72.78684200000002,-56.15485,1569207600,100,77,38.25,6.17
arlit,NE,18.73694,7.385280000000002,1569207600,0,12,86.81,9.95
buin,CL,-33.73333,-70.75,1569207600,0,87,53.4,1.74
bathsheba,BB,13.21667,-59.51667,1569207600,100,78,81.77,21.79
mandan,US,46.82666,-100.88958,1569207600,39,55,55.85,5.55
rikitea,PF,-23.120279,-134.969177,1569207600,5,80,68.63,20.11
tuktoyaktuk,CA,69.45414,-133.03741499999998,1569207600,100,92,40.19,11.12
bengkulu,ID,-3.80044,102.265541,1569207600,99,89,76.73,17.36
los llanos de aridane,ES,28.65851,-17.918209,1569207600,27,84,73.67,4.0
puerto ayora,EC,-0.73931,-90.351761,1569207600,18,85,64.89,8.93
morondava,MG,-20.283331,44.283329,1569207600,0,60,75.83,8.3
arraial do cabo,BR,-22.96611,-42.027779,1569207600,100,84,66.83,15.41
lambarene,GA,-0.7001,10.24055,1569207600,100,88,74.57,3.71
kavieng,PG,-2.57444,150.79669199999995,1569207600,100,70,83.03,2.15
ushuaia,AR,-54.799999,-68.300003,1569207600,100,99,41.77,4.5
qaanaaq,GL,77.483971,-69.363213,1569207600,78,67,22.19,5.1
kousseri,CM,12.07689,15.03063,1569207600,60,71,79.61,6.85
nefteyugansk,RU,61.099789,72.603493,1569207600,100,90,39.29,26.78
cape town,ZA,-33.925838,18.42322,1569207600,19,69,58.37,18.5
parksville,CA,49.31633,-124.31945,1569207600,14,86,60.17,7.85
yellowknife,CA,62.456001,-114.352547,1569207600,31,85,52.07,12.84
khatanga,RU,71.966667,102.5,1569207600,100,78,37.63,13.35
norman wells,CA,65.282013,-126.832901,1569207600,100,84,42.49,5.46
hilo,US,19.729719,-155.089996,1569207600,86,87,72.46,7.02
bluff,NZ,-46.599998,168.333328,1569207600,0,67,54.77,28.63
atuona,PF,-9.8,-139.033325,1569207600,14,78,80.29,18.59
manicore,BR,-5.80917,-61.300282,1569207600,92,97,72.52,0.98
cedar city,US,37.677479,-113.06189,1569207600,100,19,62.87,11.21
ukiah,US,39.150169,-123.207779,1569207600,37,97,52.79,0.96
codrington,AU,-38.26667,141.966675,1569207600,20,76,55.38,21.52
provideniya,RU,64.38333100000001,-173.300003,1569207600,0,50,40.95,7.25
tanout,NE,14.97089,8.88786,1569207600,0,15,88.25,10.67
nelson bay,AU,-32.716671000000005,152.149994,1569207600,0,54,71.58,8.72
arua,UG,3.02013,30.911051,1569207600,0,94,61.79,2.89
new norfolk,AU,-42.782612,147.058701,1569207600,48,52,60.44,6.06
isangel,VU,-19.549999,169.266663,1569207600,99,66,79.21,21.12
goksun,TR,38.020962,36.497299,1569207600,0,35,52.21,10.78
traverse city,US,44.763062,-85.620628,1569207600,100,80,64.49,7.94
kodiak,US,57.790001,-152.407227,1569207600,76,85,51.31,26.17
lompoc,US,34.639149,-120.457939,1569207600,0,71,63.59,10.22
bambous virieux,MU,-20.342779,57.7575,1569207600,60,82,71.55,21.16
berlevag,NO,70.85778,29.086361,1569207600,100,76,40.55,24.54
zyryanka,RU,65.75,150.850006,1569207600,2,37,44.62,10.04
lavrentiya,RU,65.58332800000001,-171.0,1569207600,100,92,31.55,6.24
kununurra,AU,-15.76667,128.733337,1569207600,9,32,98.04,16.55
avarua,CK,-21.207781,-159.774994,1569207600,100,77,69.35,21.03
thinadhoo,MV,0.53333,72.933327,1569207600,100,81,80.69,16.67
santa vitoria,BR,-18.83861,-50.121391,1569207600,0,58,77.99,14.14
sitka,US,57.053059,-135.330002,1569207600,74,77,51.89,6.4
axim,GH,4.86992,-2.24046,1569207600,93,92,74.75,5.7
port alfred,ZA,-33.590569,26.891041,1569207600,8,82,51.21,11.5
iqaluit,CA,63.750591,-68.514488,1569207600,1,78,34.07,5.73
manggar,ID,-2.88333,108.26667,1569207600,28,49,96.64,10.29
kaeo,NZ,-35.099998,173.783325,1569207600,86,66,64.22,9.66
totness,SR,5.88333,-56.316669,1569207600,33,82,82.13,16.53
seoul,KR,37.56826,126.977829,1569207600,0,53,72.64,12.66
keti bandar,PK,24.14472,67.449722,1569207600,28,83,83.93,4.59
narsaq,GL,60.916672,-46.049999,1569207600,3,72,35.62,1.92
sao felix do xingu,BR,-6.64472,-51.994999,1569207600,0,64,75.65,1.74
bredasdorp,ZA,-34.53215,20.04031,1569207600,67,80,45.41,3.74
klaksvik,FO,62.226551,-6.589010000000001,1569207600,15,92,52.25,23.33
nanortalik,GL,60.14316899999999,-45.237148,1569207600,0,87,38.75,4.03
fallon,US,39.47353,-118.777367,1569207600,100,22,71.87,8.28
mahebourg,MU,-20.40806,57.700001,1569207600,60,82,71.55,21.16
tieli,CN,46.950001,128.050003,1569207600,0,65,72.41,8.86
severo-kurilsk,RU,50.67889,156.125,1569207600,0,77,49.37,5.61
tilichiki,RU,60.466671,166.100006,1569207600,33,46,49.77,5.03
capitao poco,BR,-1.74639,-47.059441,1569207600,0,88,74.03,6.26
bandarbeyla,SO,9.4942,50.812199,1569207600,17,77,72.95,18.52
ankang,CN,32.68,109.01722,1569207600,52,46,82.92,2.28
seybaplaya,MX,19.65,-90.666672,1569207600,3,77,85.01,17.27
ancud,CL,-41.86972,-73.82028199999998,1569207600,1,86,43.07,0.63
najran,SA,17.492399,44.127659,1569207600,0,29,65.89,2.44
bali chak,IN,22.366671,87.550003,1569207600,95,72,91.71,9.08
tabou,CI,4.42295,-7.3528,1569207600,99,95,74.57,3.04
derzhavinsk,KZ,51.099998,66.316673,1569207600,0,55,50.31,20.33
baykit,RU,61.669998,96.370003,1569207600,85,77,44.69,13.04
north platte,US,41.12389,-100.765419,1569207600,0,36,62.33,4.27
faanui,PF,-16.48333,-151.75,1569207600,0,80,80.15,17.67
chernyshevskiy,RU,63.012779,112.47139,1569207600,0,68,41.95,9.37
ketchikan,US,55.34222,-131.646103,1569207600,32,79,55.27,2.19
pevek,RU,69.700829,170.313324,1569207600,100,87,36.05,16.08
paamiut,GL,61.994019,-49.667759,1569207600,0,79,39.47,9.98
pisco,PE,-13.7,-76.216667,1569207600,99,94,61.5,13.29
lasa,IT,46.616611,10.70016,1569207600,100,92,48.72,3.2
bernay,FR,49.088879,0.59858,1569207600,2,95,53.8,10.2
panguna,PG,-6.3164,155.484833,1569207600,58,68,85.23,5.26
alugan,PH,12.2188,125.480797,1569207600,38,53,96.82,4.99
broken hill,AU,-31.950001,141.433334,1569207600,0,24,66.72,12.08
ostrovnoy,RU,68.053062,39.513062,1569207600,100,84,38.35,20.15
bubaque,GW,11.28333,-15.833329999999998,1569207600,100,82,81.05,13.27
malyn,UA,50.772331,29.238331,1569207600,100,75,45.05,9.62
arman,RU,59.700001,150.166672,1569207600,100,96,43.43,2.42
atar,MR,20.516859,-13.04986,1569207600,26,19,92.57,8.25
leningradskiy,RU,69.38333100000001,178.416672,1569207600,100,97,35.33,11.79
ilulissat,GL,69.216667,-51.099998,1569207600,100,82,41.81,5.91
prachuap khiri khan,TH,11.82098,99.784103,1569207600,100,86,81.09,0.72
guerrero negro,MX,27.976940000000006,-114.061111,1569207600,1,81,70.79,13.31
lufilufi,WS,-13.87449,-171.598572,1569207600,100,83,78.35,27.78
east london,ZA,-33.015289,27.911619,1569207600,0,71,48.29,15.48
nianzishan,CN,47.51667,122.883331,1569207600,0,35,89.01,12.53
teguldet,RU,57.306389,88.16667199999998,1569207600,100,56,72.95,9.22
mar del plata,AR,-38.002281,-57.557541,1569207600,0,56,46.18,9.78
buala,SB,-8.144969999999999,159.592117,1569207600,100,93,76.55,10.76
yulara,AU,-25.240601,130.988907,1569207600,91,17,75.65,19.53
marilia,BR,-22.21389,-49.945831,1569207600,0,69,61.07,19.62
lower hutt,NZ,-41.21667100000001,174.916672,1569207600,90,78,56.7,32.97
bam,IR,29.106001000000006,58.356998,1569207600,0,12,75.36,1.3
daud khel,PK,32.874981,71.570122,1569207600,0,37,88.61,3.8
urengoy,RU,65.966667,78.36666899999999,1569207600,100,94,48.4,24.4
kahului,US,20.89472,-156.470001,1569207600,17,82,82.6,22.59
baruun-urt,MN,46.680561,113.279167,1569207600,12,51,70.39,9.64
batagay-alyta,RU,67.80056,130.411392,1569207600,96,58,38.28,3.44
caibarien,CU,22.520559,-79.466942,1569207600,97,87,78.17,8.57
dzilam gonzalez,MX,21.283331,-88.933327,1569207600,0,86,82.31,15.95
villa carlos paz,AR,-31.424141,-64.49778,1569207600,0,46,54.16,5.1
xixiang,CN,35.162781,112.864998,1569207600,0,31,85.51,3.29
yining,CN,29.036140000000003,114.563622,1569207600,0,39,95.67,1.63
macae,BR,-22.370831,-41.786942,1569207600,99,93,67.87,8.5
pagudpud,PH,18.5616,120.786797,1569207600,29,71,85.98,9.93
lakes entrance,AU,-37.881149,147.981033,1569207600,84,60,62.83,12.95
port hardy,CA,50.699619,-127.419853,1569207600,0,88,53.91,9.78
hay river,CA,60.815552,-115.799927,1569207600,52,82,54.95,11.25
lebu,CL,-37.616669,-73.650002,1569207600,0,77,51.85,26.62
sampit,ID,-2.53333,112.949997,1569207600,100,45,104.31,4.88
comodoro rivadavia,AR,-45.866669,-67.5,1569207600,0,59,52.97,12.82
ulaanbaatar,MN,47.907711,106.88324,1569207600,0,54,65.97,3.6
humberto de campos,BR,-2.59833,-43.461109,1569207600,8,87,76.19,6.11
ippy,CF,6.2679300000000016,21.22468,1569207600,23,93,68.63,1.03
tikrit,IQ,34.607121,43.678219,1569207600,0,14,71.51,10.0
olavarria,AR,-36.892719,-60.32254,1569207600,0,57,45.21,10.54
yar-sale,RU,66.83332800000001,70.83332800000002,1569207600,100,96,34.43,33.04
dikson,RU,73.506943,80.546387,1569207600,97,92,37.42,1.16
shahr-e babak,IR,30.116501,55.118599,1569207600,0,38,68.63,8.59
keita,NE,14.7551,5.7749,1569207600,0,39,83.75,1.36
beitbridge,ZW,-22.216669,30.0,1569207600,71,45,63.77,8.95
talnakh,RU,69.48650400000001,88.39720200000002,1569207600,100,73,40.05,19.22
alihe,CN,50.566669,123.716667,1569207600,33,48,58.23,10.31
kapaa,US,22.075211,-159.318954,1569207600,78,68,80.83,6.35
yamada,JP,39.46667100000001,141.949997,1569207600,100,99,60.28,6.26
san policarpo,PH,12.1791,125.507202,1569207600,39,73,86.41,8.88
pangai,TO,-19.799999,-174.350006,1569207600,0,72,72.7,21.12
ikom,NG,5.96669,8.70632,1569207600,100,96,74.03,2.68
wasilla,US,61.58139,-149.439438,1569207600,93,77,46.36,1.9
vaasa,FI,63.096001,21.61577,1569207600,0,58,46.85,11.07
inhambane,MZ,-23.865,35.383331,1569207600,20,97,64.49,3.71
great bend,US,38.36446,-98.764809,1569207600,0,48,66.29,7.83
pitimbu,BR,-7.470560000000001,-34.808609000000004,1569207600,42,96,72.23,2.77
culebra,PR,18.303011,-65.300987,1569207600,100,80,83.93,19.1
baie-comeau,CA,49.216789,-68.14894100000001,1569207600,100,97,65.97,8.01
piranhas,BR,-16.426941,-51.82222,1569207600,27,48,79.43,7.49
pringsewu,ID,-5.358219999999998,104.974411,1569207600,67,49,98.01,5.91
maldonado,UY,-34.900002,-54.950001,1569207600,0,62,49.19,10.58
clyde river,CA,70.469162,-68.591431,1569207600,99,93,29.57,3.91
tuatapere,NZ,-46.133331,167.683334,1569207600,0,68,54.23,35.34
cabo san lucas,MX,22.890881,-109.912376,1569207600,52,93,77.09,6.29
lata,PT,40.162861,-8.33269,1569207600,54,95,55.49,2.46
lahaina,US,20.87833,-156.682495,1569207600,51,77,82.31,10.18
muisne,EC,0.6,-80.033333,1569207600,100,87,74.86,11.86
ningbo,CN,29.878189000000006,121.549454,1569207600,1,62,82.02,12.35
mandalgovi,MN,45.762501,106.270828,1569207600,0,38,73.17,6.76
neutraubling,DE,48.98333,12.2,1569207600,79,82,53.33,1.59
koutiala,ML,12.39173,-5.46421,1569207600,31,78,77.45,6.06
mareeba,AU,-17.0,145.433334,1569207600,30,47,84.07,12.28
shache,CN,38.416672,77.240562,1569207600,0,18,83.43,6.38
sisimiut,GL,66.939461,-53.6735,1569207600,50,92,38.75,16.35
along,IN,28.16667,94.76667,1569207600,100,99,57.76,2.51
deyang,CN,31.13019,104.381981,1569207600,100,74,74.08,6.17
tiksi,RU,71.687218,128.86944599999998,1569207600,100,96,37.42,5.57
kokorevka,RU,52.587223,34.277778999999995,1569207600,0,95,33.17,4.94
uribia,CO,11.7139,-72.266037,1569207600,100,92,76.19,3.06
conceicao do araguaia,BR,-8.25778,-49.264721,1569207600,33,47,80.51,2.21
tikapur,NP,28.5,81.13333100000001,1569207600,92,81,77.88,2.55
puerto leguizamo,CO,-0.19337,-74.781891,1569207600,64,75,75.11,1.19
sarangani,PH,5.40333,125.463608,1569207600,3,75,82.56,9.98
salalah,OM,17.015051,54.092369,1569207600,99,76,79.93,3.38
tasiilaq,GL,65.61451,-37.636761,1569207600,100,80,44.76,14.74
roald,NO,62.583328,6.13333,1569207600,2,77,57.47,6.53
plettenberg bay,ZA,-34.052738,23.371599,1569207600,92,82,48.11,5.48
hami,CN,42.799999,93.449997,1569207600,0,10,91.67,17.07
zanjan,IR,36.673599,48.478699,1569207600,0,92,44.44,2.68
maningrida,AU,-12.06667,134.266663,1569207600,100,43,90.27,14.34
north battleford,CA,52.78344,-108.284653,1569207600,0,59,61.43,8.75
alor setar,MY,6.12104,100.360138,1569207600,100,81,83.03,6.11
chokwe,MZ,-24.533331,32.98333,1569207600,50,79,75.0,12.59
libreville,GA,0.3925,9.45365,1569207600,100,87,78.57,12.82
cherskiy,RU,68.75,161.300003,1569207600,92,66,35.62,5.08
meiganga,CM,6.51667,14.3,1569207600,100,95,64.49,2.37
karlskrona,SE,56.16156,15.58661,1569207600,20,81,50.2,9.71
kawalu,ID,-7.3817,108.208199,1569207600,40,56,89.83,8.72
claresholm,CA,50.033321,-113.585243,1569207600,69,62,54.3,14.23
brigantine,US,39.410118,-74.364594,1569207600,2,81,71.2,7.29
mehran,IR,33.1222,46.1646,1569207600,0,17,82.67,14.38
tchaourou,BJ,8.88649,2.5975200000000003,1569207600,100,96,72.77,5.55
polazna,RU,58.29457900000001,56.40546,1569207600,81,88,32.85,2.3
coquimbo,CL,-29.953329,-71.343613,1569207600,31,91,53.4,9.22
calvinia,ZA,-31.47069,19.776011,1569207600,0,60,43.25,8.3
dembi dolo,ET,8.53333,34.799999,1569207600,41,80,68.59,3.53
ambilobe,MG,-13.2,49.049999,1569207600,28,73,70.43,10.76
adrar,DZ,27.87429,-0.29388000000000003,1569207600,0,13,90.23,5.32
longyearbyen,SJ,78.218597,15.64007,1569207600,100,85,29.89,3.62
tevaitoa,PF,-16.783331,-151.5,1569207600,0,81,79.61,17.83
vao,NC,-22.66667,167.483337,1569207600,71,68,69.57,15.82
rawatsar,IN,29.283331,74.38333100000001,1569207600,0,52,91.53,8.32
kipini,KE,-2.52565,40.526199,1569207600,40,81,76.01,11.07
hagere hiywet,ET,8.98333,37.849998,1569207600,100,95,55.31,1.48
samoded,RU,63.608299,40.511101,1569207600,100,97,37.31,11.21
korla,CN,41.75972,86.14694200000002,1569207600,0,27,77.7,3.36
lahad datu,MY,5.0268,118.327003,1569207600,7,51,97.0,4.25
beidao,CN,34.568611,105.893333,1569207600,96,53,67.66,3.47
taluya,PH,5.81167,125.172783,1569207600,21,66,89.58,5.03
terskaya,RU,43.723759,44.724419,1569207600,0,64,49.91,7.92
kavaratti,IN,10.56688,72.64202900000002,1569207600,100,75,82.6,4.9
touros,BR,-5.1988900000000005,-35.460831,1569207600,0,79,78.17,22.93
skjervoy,NO,70.031143,20.971411,1569207600,99,65,41.63,8.66
necochea,AR,-38.54726,-58.736752,1569207600,0,51,46.13,10.36
saskylakh,RU,71.91667199999998,114.083328,1569207600,98,92,36.48,11.05
namibe,AO,-15.19611,12.15222,1569207600,31,84,66.43,5.26
hailar,CN,49.200001,119.699997,1569207600,38,44,62.91,16.13
waipawa,NZ,-41.41222,175.515274,1569207600,88,65,58.55,22.97
bernau,DE,47.800179,8.0383,1569207600,100,97,54.16,4.83
gudari,IN,19.35,83.783333,1569207600,48,81,86.05,2.08
grindavik,IS,63.8424,-22.43375,1569207600,100,91,51.13,22.37
chukhloma,RU,58.752499,42.682499,1569207600,100,92,34.43,6.6
havoysund,NO,70.996338,24.66217,1569207600,100,76,39.47,16.67
novoomskiy,RU,54.84151800000001,73.301743,1569207600,35,62,46.35,16.17
minab,IR,27.1467,57.080101,1569207600,0,65,85.51,1.79
dhilwan,IN,31.516939,75.349998,1569207600,0,56,83.1,6.55
sarana,RU,56.47728000000001,57.725861,1569207600,100,96,34.79,8.05
maragogi,BR,-9.01222,-35.2225,1569207600,40,95,71.76,1.7
liberal,US,37.043079,-100.920998,1569207600,0,38,69.35,8.5
sao miguel do araguaia,BR,-13.275,-50.162781,1569207600,77,30,85.55,1.28
kruisfontein,ZA,-34.00333,24.731421,1569207600,66,88,50.88,10.54
nyurba,RU,63.28416800000001,118.33194,1569207600,0,60,46.13,9.64
havre-saint-pierre,CA,50.23344,-63.598621,1569207600,100,94,61.79,11.45
petropavlovsk-kamchatskiy,RU,53.0452,158.6483,1569207600,0,65,57.43,5.95
pangnirtung,CA,66.145111,-65.712517,1569207600,0,70,23.45,3.76
